Name,Price,Fat,Carbohydrates,Protein,Salt,Allergens,Ingredients
Fresh Red Miso Paste Akatsubu Miso,€5.95, 1.0g,10.3g,n 11g,11.6g,Allergens are highlighted in pink on the ingredient list.,
Fresh White Miso Paste Shirokoshi Miso,€5.95, 1.0g,10.3g,n 11g,11.6g,Allergens are highlighted in pink on the ingredient list.,
Green Curry Soup Ready-to-Eat,€3.50, 2.2g, 4.0g, 0.7g, 1.2g,Allergens are highlighted in pink on the ingredient list.,"Stove: Bring the curry to a simmer, add chicken (shrimp or beef, as desired), uncover, stirring occasionally, boil until cooked. Serve immediately with steamed rice. "
Organic Coconut Milk 400ml,€4.10,s 16g, 1.6g, 0.9g,0.02g, ,
Organic Coconut Oil 500ml,€8.50,92.8g, 0.0g, 0.0g, 0.0g, ,
Coconut milk,€2.50,s 17g, 2.0g, 1.6g,0.05g, ,
Shin Ramyun Noodle Soup Spicy,€2.00, 6.1g, 3.0g, 8.2g, 3.8g,See ingredients in pink font., 
Green Tea Mochi,€4.50, 1.1g,41.7g, 1.3g, 0.1g,,
Satay Seasoning Mix,€3.10, 2.1g,s 54g, 9.3g, 7.6g,Allergens are highlighted in pink on the ingredient list., 
Golden Curry Ready-made Sauce,€3.50,es 3g, 2.3g, 1.6g, 0.5g,Allergens are highlighted in pink on the ingredient list.,1. Remove pouch from the box. Place 
Palm Sugar,€3.50,es 0g,s 82g,in 0g,0.07g,Allergens are highlighted in pink on the ingredient list.,
Kimchi,€3.50, 0.0g, 0.0g,3.30g,1.25g, ,
Red Curry Soup (Ready-to-Eat),€3.50, 5.0g, 4.2g, 0.7g, 1.4g,Allergens are highlighted in pink on the ingredient list.,Ingredients:
Tom Yum Paste,€4.50,s 21g,s 14g, 5.8g, 4.1g,Allergens are highlighted in pink on the ingredient list.,"Lemongrass 24%, Refined Soybean Oil, Shallot, Sugar, Tamarind Paste, Dried Red Chili, Galangal, Garlic, Salt, Acidity Regulator: Citric Acid (E330), "
Tamarind without seeds,€4.90,es 0g,s 37g, 3.1g,0.24g,Allergens are highlighted in pink on the ingredient list.,
Gluten-free LKK Hoisin Sauce,€5.50, 0.1g,s 47g,1.80g, 6.4g,Allergens are highlighted in pink on the ingredient list.,"Sugar, water,"
Soan Papdi,€3.75,11.3g,49.0g, 4.2g, 0.02,,"Sugar (sucrose), refined palmolein oil, refined "
Peanut Mochi,€4.50, 3.4g,51.6g, 4.2g,0.14g,Allergens are highlighted in pink on the ingredient list.,
Mama Sita BBQ Sauce,€3.50, 0.4g,s 23g, 0.9g, 1.3g,Allergens are highlighted in pink on the ingredient list.,"Water, cane sugar, breadcrumbs 3.96% ("
Chilli Paste with Sweet Basil Leaves,€3.90,es 0g,s 10g, 3.6g, 5.4g,Allergens are highlighted in pink on the ingredient list.,Ingredients:
Pad Thai Sauce,€5.50, 0.5g,s 54g, 2.5g, 8.2g,Allergens are highlighted in pink on the ingredient list.,3. Mix well and serve.
